iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
123,0,Art,Product,DANN,SGD,36,0.001,0.5145,0.0000,0.5877,3.3401,0.0000,1.5945
246,1,Art,Product,DANN,SGD,36,0.001,0.7730,0.0000,0.5920,2.2102,0.0000,1.8007
369,2,Art,Product,DANN,SGD,36,0.001,0.8281,0.0000,0.5954,2.0045,0.0000,1.8497
492,3,Art,Product,DANN,SGD,36,0.001,0.8708,0.0000,0.6076,1.8719,0.0000,1.8358
615,4,Art,Product,DANN,SGD,36,0.001,0.8914,0.0000,0.5981,1.7949,0.0000,1.9824
738,5,Art,Product,DANN,SGD,36,0.001,0.8927,0.0000,0.5981,1.7877,0.0000,2.0683
861,6,Art,Product,DANN,SGD,36,0.001,0.9049,0.0000,0.5974,1.7342,0.0000,1.9413
984,7,Art,Product,DANN,SGD,36,0.001,0.9061,0.0000,0.6128,1.7454,0.0000,1.8144
1107,8,Art,Product,DANN,SGD,36,0.001,0.9192,0.0000,0.6267,1.6929,0.0000,1.8099
1230,9,Art,Product,DANN,SGD,36,0.001,0.9223,0.0000,0.6229,1.6694,0.0000,1.8857
1353,10,Art,Product,DANN,SGD,36,0.001,0.9246,0.0000,0.6157,1.6580,0.0000,1.8828
1476,11,Art,Product,DANN,SGD,36,0.001,0.9250,0.0000,0.6013,1.6452,0.0000,2.0296
1599,12,Art,Product,DANN,SGD,36,0.001,0.9361,0.0000,0.6017,1.6247,0.0000,2.0087
1722,13,Art,Product,DANN,SGD,36,0.001,0.9327,0.0000,0.5875,1.6213,0.0000,2.0526
1845,14,Art,Product,DANN,SGD,36,0.001,0.9422,0.0000,0.6004,1.5965,0.0000,2.0103
1968,15,Art,Product,DANN,SGD,36,0.001,0.9399,0.0000,0.6001,1.6141,0.0000,1.9847
2091,16,Art,Product,DANN,SGD,36,0.001,0.9426,0.0000,0.5997,1.6094,0.0000,2.0160
2214,17,Art,Product,DANN,SGD,36,0.001,0.9474,0.0000,0.5936,1.5814,0.0000,2.0039
2337,18,Art,Product,DANN,SGD,36,0.001,0.9429,0.0000,0.6051,1.5888,0.0000,1.9680
2460,19,Art,Product,DANN,SGD,36,0.001,0.9505,0.0000,0.6094,1.5738,0.0000,1.9629
2583,20,Art,Product,DANN,SGD,36,0.001,0.9476,0.0000,0.5986,1.5726,0.0000,1.9951
2706,21,Art,Product,DANN,SGD,36,0.001,0.9521,0.0000,0.6107,1.5583,0.0000,1.9591
2829,22,Art,Product,DANN,SGD,36,0.001,0.9551,0.0000,0.6010,1.5496,0.0000,2.0310
2952,23,Art,Product,DANN,SGD,36,0.001,0.9460,0.0000,0.6022,1.5759,0.0000,2.0308
3075,24,Art,Product,DANN,SGD,36,0.001,0.9569,0.0000,0.6107,1.5325,0.0000,1.9205
3198,25,Art,Product,DANN,SGD,36,0.001,0.9553,0.0000,0.5977,1.5472,0.0000,2.0377
3321,26,Art,Product,DANN,SGD,36,0.001,0.9569,0.0000,0.5977,1.5450,0.0000,1.9990
3444,27,Art,Product,DANN,SGD,36,0.001,0.9578,0.0000,0.6033,1.5341,0.0000,1.9786
3567,28,Art,Product,DANN,SGD,36,0.001,0.9603,0.0000,0.5868,1.5351,0.0000,2.0569
3690,29,Art,Product,DANN,SGD,36,0.001,0.9593,0.0000,0.5990,1.5237,0.0000,1.9904
3813,30,Art,Product,DANN,SGD,36,0.001,0.9605,0.0000,0.6008,1.5226,0.0000,1.9734
3936,31,Art,Product,DANN,SGD,36,0.001,0.9591,0.0000,0.5857,1.5377,0.0000,2.0468
4059,32,Art,Product,DANN,SGD,36,0.001,0.9618,0.0000,0.5925,1.5206,0.0000,1.9702
4182,33,Art,Product,DANN,SGD,36,0.001,0.9614,0.0000,0.5904,1.5270,0.0000,2.0022
