iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
136,1,Art,Real World,Baseline,SGD,36,0.001,0.6634,0.0000,0.6727,1.2307,0.0000,1.2495
272,3,Art,Real World,Baseline,SGD,36,0.001,0.8109,0.0000,0.6892,0.6961,0.0000,1.2184
408,5,Art,Real World,Baseline,SGD,36,0.001,0.8537,0.0000,0.6980,0.5479,0.0000,1.2651
544,7,Art,Real World,Baseline,SGD,36,0.001,0.8826,0.0000,0.7152,0.4136,0.0000,1.1712
680,9,Art,Real World,Baseline,SGD,36,0.001,0.9011,0.0000,0.7152,0.3633,0.0000,1.2120
816,11,Art,Real World,Baseline,SGD,36,0.001,0.9122,0.0000,0.7113,0.3391,0.0000,1.2289
952,13,Art,Real World,Baseline,SGD,36,0.001,0.9122,0.0000,0.7138,0.3156,0.0000,1.2639
1088,15,Art,Real World,Baseline,SGD,36,0.001,0.9242,0.0000,0.7244,0.2807,0.0000,1.2035
1224,17,Art,Real World,Baseline,SGD,36,0.001,0.9333,0.0000,0.7133,0.2577,0.0000,1.2459
1360,19,Art,Real World,Baseline,SGD,36,0.001,0.9345,0.0000,0.7182,0.2645,0.0000,1.2081
1496,21,Art,Real World,Baseline,SGD,36,0.001,0.9444,0.0000,0.7264,0.2226,0.0000,1.1939
1632,23,Art,Real World,Baseline,SGD,36,0.001,0.9452,0.0000,0.7172,0.2236,0.0000,1.2165
1768,25,Art,Real World,Baseline,SGD,36,0.001,0.9312,0.0000,0.7152,0.2575,0.0000,1.2273
1904,27,Art,Real World,Baseline,SGD,36,0.001,0.9419,0.0000,0.7163,0.2255,0.0000,1.2005
2040,29,Art,Real World,Baseline,SGD,36,0.001,0.9563,0.0000,0.7200,0.1623,0.0000,1.2026
2176,31,Art,Real World,Baseline,SGD,36,0.001,0.9518,0.0000,0.7099,0.1850,0.0000,1.2403
2312,33,Art,Real World,Baseline,SGD,36,0.001,0.9460,0.0000,0.7147,0.1952,0.0000,1.2152
2448,35,Art,Real World,Baseline,SGD,36,0.001,0.9534,0.0000,0.7262,0.1960,0.0000,1.1736
2584,37,Art,Real World,Baseline,SGD,36,0.001,0.9514,0.0000,0.7170,0.1857,0.0000,1.2047
2720,39,Art,Real World,Baseline,SGD,36,0.001,0.9518,0.0000,0.7154,0.1739,0.0000,1.2230
2856,41,Art,Real World,Baseline,SGD,36,0.001,0.9539,0.0000,0.7225,0.1592,0.0000,1.2030
2992,43,Art,Real World,Baseline,SGD,36,0.001,0.9530,0.0000,0.7188,0.1711,0.0000,1.1954
3128,45,Art,Real World,Baseline,SGD,36,0.001,0.9621,0.0000,0.7177,0.1463,0.0000,1.1794
3264,47,Art,Real World,Baseline,SGD,36,0.001,0.9604,0.0000,0.7159,0.1516,0.0000,1.2040
3400,49,Art,Real World,Baseline,SGD,36,0.001,0.9592,0.0000,0.7140,0.1554,0.0000,1.1853
3536,51,Art,Real World,Baseline,SGD,36,0.001,0.9600,0.0000,0.7145,0.1406,0.0000,1.2021
3672,53,Art,Real World,Baseline,SGD,36,0.001,0.9609,0.0000,0.7179,0.1532,0.0000,1.1851
3808,55,Art,Real World,Baseline,SGD,36,0.001,0.9580,0.0000,0.7179,0.1650,0.0000,1.1796
3944,57,Art,Real World,Baseline,SGD,36,0.001,0.9588,0.0000,0.7170,0.1426,0.0000,1.1848
4080,59,Art,Real World,Baseline,SGD,36,0.001,0.9510,0.0000,0.7143,0.1681,0.0000,1.1927
4216,61,Art,Real World,Baseline,SGD,36,0.001,0.9650,0.0000,0.7156,0.1273,0.0000,1.1799
4352,63,Art,Real World,Baseline,SGD,36,0.001,0.9584,0.0000,0.7131,0.1525,0.0000,1.2009
4488,65,Art,Real World,Baseline,SGD,36,0.001,0.9621,0.0000,0.7147,0.1414,0.0000,1.1953
4624,67,Art,Real World,Baseline,SGD,36,0.001,0.9596,0.0000,0.7159,0.1498,0.0000,1.1758
4760,69,Art,Real World,Baseline,SGD,36,0.001,0.9670,0.0000,0.7115,0.1304,0.0000,1.1912
4896,71,Art,Real World,Baseline,SGD,36,0.001,0.9699,0.0000,0.7094,0.1288,0.0000,1.1769
5032,73,Art,Real World,Baseline,SGD,36,0.001,0.9609,0.0000,0.7126,0.1475,0.0000,1.1811
5168,75,Art,Real World,Baseline,SGD,36,0.001,0.9650,0.0000,0.7124,0.1222,0.0000,1.1625
5304,77,Art,Real World,Baseline,SGD,36,0.001,0.9716,0.0000,0.7198,0.1171,0.0000,1.1567
5440,79,Art,Real World,Baseline,SGD,36,0.001,0.9654,0.0000,0.7136,0.1286,0.0000,1.1903
5576,81,Art,Real World,Baseline,SGD,36,0.001,0.9712,0.0000,0.7253,0.1069,0.0000,1.1493
5712,83,Art,Real World,Baseline,SGD,36,0.001,0.9687,0.0000,0.7200,0.1106,0.0000,1.1713
5848,85,Art,Real World,Baseline,SGD,36,0.001,0.9609,0.0000,0.7172,0.1433,0.0000,1.1731
5984,87,Art,Real World,Baseline,SGD,36,0.001,0.9662,0.0000,0.7156,0.1243,0.0000,1.1843
6120,89,Art,Real World,Baseline,SGD,36,0.001,0.9691,0.0000,0.7126,0.1159,0.0000,1.1875
6256,91,Art,Real World,Baseline,SGD,36,0.001,0.9646,0.0000,0.7156,0.1218,0.0000,1.1659
6392,93,Art,Real World,Baseline,SGD,36,0.001,0.9683,0.0000,0.7149,0.1111,0.0000,1.1580
6528,95,Art,Real World,Baseline,SGD,36,0.001,0.9666,0.0000,0.7087,0.1294,0.0000,1.1649
6664,97,Art,Real World,Baseline,SGD,36,0.001,0.9646,0.0000,0.7156,0.1172,0.0000,1.1608
6800,99,Art,Real World,Baseline,SGD,36,0.001,0.9707,0.0000,0.7152,0.1189,0.0000,1.1551
6936,101,Art,Real World,Baseline,SGD,36,0.001,0.9674,0.0000,0.7129,0.1207,0.0000,1.1556
7072,103,Art,Real World,Baseline,SGD,36,0.001,0.9658,0.0000,0.7108,0.1314,0.0000,1.1503
7208,105,Art,Real World,Baseline,SGD,36,0.001,0.9728,0.0000,0.7064,0.1035,0.0000,1.1623
7344,107,Art,Real World,Baseline,SGD,36,0.001,0.9712,0.0000,0.7120,0.0997,0.0000,1.1518
7480,109,Art,Real World,Baseline,SGD,36,0.001,0.9670,0.0000,0.7124,0.1128,0.0000,1.1426
7616,111,Art,Real World,Baseline,SGD,36,0.001,0.9724,0.0000,0.7129,0.0987,0.0000,1.1527
7752,113,Art,Real World,Baseline,SGD,36,0.001,0.9650,0.0000,0.7067,0.1352,0.0000,1.1482
7888,115,Art,Real World,Baseline,SGD,36,0.001,0.9703,0.0000,0.7122,0.1033,0.0000,1.1287
8024,117,Art,Real World,Baseline,SGD,36,0.001,0.9670,0.0000,0.7101,0.1062,0.0000,1.1453
8160,119,Art,Real World,Baseline,SGD,36,0.001,0.9761,0.0000,0.7090,0.1040,0.0000,1.1514
8296,121,Art,Real World,Baseline,SGD,36,0.001,0.9815,0.0000,0.7090,0.0788,0.0000,1.1470
8432,123,Art,Real World,Baseline,SGD,36,0.001,0.9769,0.0000,0.7170,0.0841,0.0000,1.1262
8568,125,Art,Real World,Baseline,SGD,36,0.001,0.9757,0.0000,0.7175,0.0903,0.0000,1.1310
8704,127,Art,Real World,Baseline,SGD,36,0.001,0.9761,0.0000,0.7149,0.0888,0.0000,1.1284
8840,129,Art,Real World,Baseline,SGD,36,0.001,0.9761,0.0000,0.7078,0.0778,0.0000,1.1502
8976,131,Art,Real World,Baseline,SGD,36,0.001,0.9732,0.0000,0.7122,0.0987,0.0000,1.1354
9112,133,Art,Real World,Baseline,SGD,36,0.001,0.9749,0.0000,0.7090,0.0928,0.0000,1.1359
9248,135,Art,Real World,Baseline,SGD,36,0.001,0.9786,0.0000,0.7159,0.0838,0.0000,1.1265
9384,137,Art,Real World,Baseline,SGD,36,0.001,0.9773,0.0000,0.7156,0.0864,0.0000,1.1234
9520,139,Art,Real World,Baseline,SGD,36,0.001,0.9695,0.0000,0.7175,0.1016,0.0000,1.1264
9656,141,Art,Real World,Baseline,SGD,36,0.001,0.9740,0.0000,0.7175,0.0901,0.0000,1.1242
9792,143,Art,Real World,Baseline,SGD,36,0.001,0.9745,0.0000,0.7083,0.0951,0.0000,1.1435
9928,145,Art,Real World,Baseline,SGD,36,0.001,0.9757,0.0000,0.7170,0.0919,0.0000,1.1256
10064,147,Art,Real World,Baseline,SGD,36,0.001,0.9736,0.0000,0.7138,0.0937,0.0000,1.1336
