iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Clipart,Art,Baseline,SGD,36,0.001,0.3400,0.0000,0.4359,2.7255,0.0000,2.4253
244,1,Clipart,Art,Baseline,SGD,36,0.001,0.5966,0.0000,0.4392,1.5386,0.0000,2.4498
366,2,Clipart,Art,Baseline,SGD,36,0.001,0.6708,0.0000,0.4532,1.1989,0.0000,2.5131
488,3,Clipart,Art,Baseline,SGD,36,0.001,0.7223,0.0000,0.4442,0.9999,0.0000,2.5277
610,4,Clipart,Art,Baseline,SGD,36,0.001,0.7542,0.0000,0.4528,0.8845,0.0000,2.5151
732,5,Clipart,Art,Baseline,SGD,36,0.001,0.7842,0.0000,0.4454,0.7531,0.0000,2.6365
854,6,Clipart,Art,Baseline,SGD,36,0.001,0.7977,0.0000,0.4421,0.7362,0.0000,2.6579
976,7,Clipart,Art,Baseline,SGD,36,0.001,0.8179,0.0000,0.4446,0.6587,0.0000,2.6643
1098,8,Clipart,Art,Baseline,SGD,36,0.001,0.8220,0.0000,0.4384,0.6269,0.0000,2.6948
1220,9,Clipart,Art,Baseline,SGD,36,0.001,0.8351,0.0000,0.4569,0.5889,0.0000,2.7153
1342,10,Clipart,Art,Baseline,SGD,36,0.001,0.8515,0.0000,0.4405,0.5356,0.0000,2.7354
1464,11,Clipart,Art,Baseline,SGD,36,0.001,0.8554,0.0000,0.4351,0.5170,0.0000,2.8231
1586,12,Clipart,Art,Baseline,SGD,36,0.001,0.8658,0.0000,0.4244,0.4962,0.0000,2.9030
1708,13,Clipart,Art,Baseline,SGD,36,0.001,0.8738,0.0000,0.4310,0.4582,0.0000,2.8033
1830,14,Clipart,Art,Baseline,SGD,36,0.001,0.8715,0.0000,0.4372,0.4522,0.0000,2.8352
1952,15,Clipart,Art,Baseline,SGD,36,0.001,0.8696,0.0000,0.4380,0.4644,0.0000,2.8591
2074,16,Clipart,Art,Baseline,SGD,36,0.001,0.8797,0.0000,0.4454,0.4224,0.0000,2.7277
2196,17,Clipart,Art,Baseline,SGD,36,0.001,0.8816,0.0000,0.4372,0.4132,0.0000,2.8798
2318,18,Clipart,Art,Baseline,SGD,36,0.001,0.8850,0.0000,0.4310,0.4008,0.0000,2.8750
2440,19,Clipart,Art,Baseline,SGD,36,0.001,0.8916,0.0000,0.4265,0.3838,0.0000,2.9398
2562,20,Clipart,Art,Baseline,SGD,36,0.001,0.8907,0.0000,0.4322,0.3882,0.0000,2.7977
2684,21,Clipart,Art,Baseline,SGD,36,0.001,0.8992,0.0000,0.4285,0.3606,0.0000,2.9116
2806,22,Clipart,Art,Baseline,SGD,36,0.001,0.8974,0.0000,0.4528,0.3651,0.0000,2.8988
2928,23,Clipart,Art,Baseline,SGD,36,0.001,0.9031,0.0000,0.4215,0.3649,0.0000,3.0293
3050,24,Clipart,Art,Baseline,SGD,36,0.001,0.8992,0.0000,0.4219,0.3591,0.0000,2.8630
3172,25,Clipart,Art,Baseline,SGD,36,0.001,0.9049,0.0000,0.4351,0.3456,0.0000,2.8436
3294,26,Clipart,Art,Baseline,SGD,36,0.001,0.9090,0.0000,0.4273,0.3197,0.0000,2.8626
3416,27,Clipart,Art,Baseline,SGD,36,0.001,0.9026,0.0000,0.4343,0.3467,0.0000,2.8308
3538,28,Clipart,Art,Baseline,SGD,36,0.001,0.9056,0.0000,0.4318,0.3338,0.0000,2.8223
3660,29,Clipart,Art,Baseline,SGD,36,0.001,0.9001,0.0000,0.4392,0.3490,0.0000,2.7899
3782,30,Clipart,Art,Baseline,SGD,36,0.001,0.9054,0.0000,0.4450,0.3388,0.0000,2.8933
3904,31,Clipart,Art,Baseline,SGD,36,0.001,0.9086,0.0000,0.4096,0.3142,0.0000,3.0518
4026,32,Clipart,Art,Baseline,SGD,36,0.001,0.9152,0.0000,0.4149,0.3098,0.0000,2.9164
4148,33,Clipart,Art,Baseline,SGD,36,0.001,0.9047,0.0000,0.4310,0.3300,0.0000,2.8458
4270,34,Clipart,Art,Baseline,SGD,36,0.001,0.9113,0.0000,0.4079,0.3084,0.0000,2.9936
4392,35,Clipart,Art,Baseline,SGD,36,0.001,0.9155,0.0000,0.4137,0.2976,0.0000,2.9103
4514,36,Clipart,Art,Baseline,SGD,36,0.001,0.9148,0.0000,0.4046,0.3006,0.0000,2.9809
