iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Clipart,Product,Baseline,SGD,36,0.001,0.3542,0.0000,0.4792,2.6690,0.0000,2.2171
244,1,Clipart,Product,Baseline,SGD,36,0.001,0.5897,0.0000,0.5580,1.5154,0.0000,1.8373
366,2,Clipart,Product,Baseline,SGD,36,0.001,0.6754,0.0000,0.5702,1.1973,0.0000,1.7938
488,3,Clipart,Product,Baseline,SGD,36,0.001,0.7214,0.0000,0.5697,1.0075,0.0000,1.8343
610,4,Clipart,Product,Baseline,SGD,36,0.001,0.7576,0.0000,0.5704,0.8779,0.0000,1.8334
732,5,Clipart,Product,Baseline,SGD,36,0.001,0.7879,0.0000,0.5749,0.7511,0.0000,1.9070
854,6,Clipart,Product,Baseline,SGD,36,0.001,0.8025,0.0000,0.5799,0.7043,0.0000,1.8436
976,7,Clipart,Product,Baseline,SGD,36,0.001,0.8202,0.0000,0.5803,0.6567,0.0000,1.8824
1098,8,Clipart,Product,Baseline,SGD,36,0.001,0.8277,0.0000,0.5986,0.6272,0.0000,1.8068
1220,9,Clipart,Product,Baseline,SGD,36,0.001,0.8415,0.0000,0.5812,0.5706,0.0000,1.8981
1342,10,Clipart,Product,Baseline,SGD,36,0.001,0.8552,0.0000,0.5850,0.5239,0.0000,1.9005
1464,11,Clipart,Product,Baseline,SGD,36,0.001,0.8424,0.0000,0.5794,0.5558,0.0000,1.9736
1586,12,Clipart,Product,Baseline,SGD,36,0.001,0.8600,0.0000,0.5724,0.5187,0.0000,1.9888
1708,13,Clipart,Product,Baseline,SGD,36,0.001,0.8722,0.0000,0.5747,0.4703,0.0000,2.0086
1830,14,Clipart,Product,Baseline,SGD,36,0.001,0.8641,0.0000,0.5742,0.4847,0.0000,1.9300
1952,15,Clipart,Product,Baseline,SGD,36,0.001,0.8740,0.0000,0.5616,0.4547,0.0000,2.0075
2074,16,Clipart,Product,Baseline,SGD,36,0.001,0.8829,0.0000,0.5729,0.4296,0.0000,1.9625
2196,17,Clipart,Product,Baseline,SGD,36,0.001,0.8722,0.0000,0.5756,0.4522,0.0000,1.9535
2318,18,Clipart,Product,Baseline,SGD,36,0.001,0.8800,0.0000,0.5763,0.4076,0.0000,1.9930
2440,19,Clipart,Product,Baseline,SGD,36,0.001,0.8921,0.0000,0.5808,0.3839,0.0000,2.0047
2562,20,Clipart,Product,Baseline,SGD,36,0.001,0.8832,0.0000,0.5718,0.4148,0.0000,2.0373
2684,21,Clipart,Product,Baseline,SGD,36,0.001,0.8953,0.0000,0.5738,0.3673,0.0000,1.9389
2806,22,Clipart,Product,Baseline,SGD,36,0.001,0.8958,0.0000,0.5643,0.3681,0.0000,2.0266
2928,23,Clipart,Product,Baseline,SGD,36,0.001,0.8937,0.0000,0.5693,0.3676,0.0000,1.9461
3050,24,Clipart,Product,Baseline,SGD,36,0.001,0.8955,0.0000,0.5632,0.3497,0.0000,2.0701
3172,25,Clipart,Product,Baseline,SGD,36,0.001,0.9013,0.0000,0.5668,0.3401,0.0000,2.0093
3294,26,Clipart,Product,Baseline,SGD,36,0.001,0.9006,0.0000,0.5605,0.3644,0.0000,2.0377
3416,27,Clipart,Product,Baseline,SGD,36,0.001,0.9061,0.0000,0.5756,0.3428,0.0000,1.8894
3538,28,Clipart,Product,Baseline,SGD,36,0.001,0.9065,0.0000,0.5738,0.3332,0.0000,1.9590
3660,29,Clipart,Product,Baseline,SGD,36,0.001,0.9113,0.0000,0.5720,0.3144,0.0000,1.9415
