time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-03 01:50:20,620,4,Clipart,Product,MADA,SGD,36,0.0006968104595742812,0.7699,0.0000,0.5828,45.7562,0.0000,0.0000
2019-08-03 02:09:02,1240,9,Clipart,Product,MADA,SGD,36,0.0005464261901853867,0.8423,0.0000,0.5756,45.4279,0.0000,0.0000
2019-08-03 02:27:38,1860,14,Clipart,Product,MADA,SGD,36,0.00045490852716335205,0.8714,0.0000,0.6148,45.3539,0.0000,0.0000
2019-08-03 02:46:21,2480,19,Clipart,Product,MADA,SGD,36,0.000392646737222029,0.8721,0.0000,0.6080,45.4440,0.0000,0.0000
2019-08-03 03:05:09,3100,24,Clipart,Product,MADA,SGD,36,0.00034720825306240534,0.8777,0.0000,0.6317,45.5203,0.0000,0.0000
2019-08-03 03:24:03,3720,29,Clipart,Product,MADA,SGD,36,0.00031240298230264383,0.8739,0.0000,0.6481,45.5509,0.0000,0.0000
2019-08-03 03:42:12,4340,34,Clipart,Product,MADA,SGD,36,0.0002847809401496767,0.8896,0.0000,0.6519,45.4419,0.0000,0.0000
2019-08-03 04:00:45,4960,39,Clipart,Product,MADA,SGD,36,0.00026225776745394995,0.8815,0.0000,0.6405,45.4273,0.0000,0.0000
2019-08-03 04:19:38,5580,44,Clipart,Product,MADA,SGD,36,0.00024349527849519808,0.8990,0.0000,0.6571,45.3282,0.0000,0.0000
2019-08-03 04:38:11,6200,49,Clipart,Product,MADA,SGD,36,0.00022759254618422143,0.8947,0.0000,0.5323,45.3348,0.0000,0.0000
2019-08-03 04:57:00,6820,54,Clipart,Product,MADA,SGD,36,0.00021391940887382604,0.8983,0.0000,0.4789,45.2884,0.0000,0.0000
2019-08-03 05:15:32,7440,59,Clipart,Product,MADA,SGD,36,0.00020202103122826797,0.9106,0.0000,0.5467,45.1747,0.0000,0.0000
2019-08-03 05:34:21,8060,64,Clipart,Product,MADA,SGD,36,0.0001915603781400943,0.9200,0.0000,0.5738,45.1291,0.0000,0.0000
2019-08-03 05:52:52,8680,69,Clipart,Product,MADA,SGD,36,0.0001822820626338538,0.9185,0.0000,0.6319,45.4680,0.0000,0.0000
2019-08-03 06:11:17,9300,74,Clipart,Product,MADA,SGD,36,0.000173988810237091,0.9270,0.0000,0.5321,45.1551,0.0000,0.0000
2019-08-03 06:30:01,9920,79,Clipart,Product,MADA,SGD,36,0.00016652566658170544,0.9191,0.0000,0.5531,45.1822,0.0000,0.0000
