iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
124,0,Product,Art,Baseline,SGD,36,0.001,0.6001,0.0000,0.4549,1.6045,0.0000,2.2684
248,1,Product,Art,Baseline,SGD,36,0.001,0.8058,0.0000,0.4347,0.6925,0.0000,2.4807
372,2,Product,Art,Baseline,SGD,36,0.001,0.8599,0.0000,0.4594,0.4819,0.0000,2.5383
496,3,Product,Art,Baseline,SGD,36,0.001,0.8747,0.0000,0.4623,0.4237,0.0000,2.4207
620,4,Product,Art,Baseline,SGD,36,0.001,0.8952,0.0000,0.4767,0.3608,0.0000,2.4482
744,5,Product,Art,Baseline,SGD,36,0.001,0.9007,0.0000,0.4413,0.3462,0.0000,2.6613
868,6,Product,Art,Baseline,SGD,36,0.001,0.9160,0.0000,0.4487,0.2962,0.0000,2.6627
992,7,Product,Art,Baseline,SGD,36,0.001,0.9272,0.0000,0.4693,0.2694,0.0000,2.4409
1116,8,Product,Art,Baseline,SGD,36,0.001,0.9308,0.0000,0.4586,0.2557,0.0000,2.6332
1240,9,Product,Art,Baseline,SGD,36,0.001,0.9353,0.0000,0.4854,0.2295,0.0000,2.4372
1364,10,Product,Art,Baseline,SGD,36,0.001,0.9360,0.0000,0.4607,0.2318,0.0000,2.6254
1488,11,Product,Art,Baseline,SGD,36,0.001,0.9489,0.0000,0.4615,0.1895,0.0000,2.6600
1612,12,Product,Art,Baseline,SGD,36,0.001,0.9453,0.0000,0.4652,0.2041,0.0000,2.5879
1736,13,Product,Art,Baseline,SGD,36,0.001,0.9437,0.0000,0.4722,0.1996,0.0000,2.6282
1860,14,Product,Art,Baseline,SGD,36,0.001,0.9450,0.0000,0.4586,0.2064,0.0000,2.6291
1984,15,Product,Art,Baseline,SGD,36,0.001,0.9518,0.0000,0.4796,0.1780,0.0000,2.5514
2108,16,Product,Art,Baseline,SGD,36,0.001,0.9525,0.0000,0.4677,0.1680,0.0000,2.5421
2232,17,Product,Art,Baseline,SGD,36,0.001,0.9599,0.0000,0.4718,0.1427,0.0000,2.5115
2356,18,Product,Art,Baseline,SGD,36,0.001,0.9498,0.0000,0.4742,0.1719,0.0000,2.6070
2480,19,Product,Art,Baseline,SGD,36,0.001,0.9576,0.0000,0.4672,0.1640,0.0000,2.5969
2604,20,Product,Art,Baseline,SGD,36,0.001,0.9635,0.0000,0.4685,0.1401,0.0000,2.5414
2728,21,Product,Art,Baseline,SGD,36,0.001,0.9574,0.0000,0.4536,0.1644,0.0000,2.6602
2852,22,Product,Art,Baseline,SGD,36,0.001,0.9610,0.0000,0.4598,0.1514,0.0000,2.5746
2976,23,Product,Art,Baseline,SGD,36,0.001,0.9626,0.0000,0.4677,0.1380,0.0000,2.5492
3100,24,Product,Art,Baseline,SGD,36,0.001,0.9574,0.0000,0.4586,0.1513,0.0000,2.6057
3224,25,Product,Art,Baseline,SGD,36,0.001,0.9581,0.0000,0.4611,0.1472,0.0000,2.6042
3348,26,Product,Art,Baseline,SGD,36,0.001,0.9619,0.0000,0.4508,0.1420,0.0000,2.6594
3472,27,Product,Art,Baseline,SGD,36,0.001,0.9601,0.0000,0.4528,0.1395,0.0000,2.5559
3596,28,Product,Art,Baseline,SGD,36,0.001,0.9635,0.0000,0.4718,0.1415,0.0000,2.5177
3720,29,Product,Art,Baseline,SGD,36,0.001,0.9664,0.0000,0.4710,0.1285,0.0000,2.4442
3844,30,Product,Art,Baseline,SGD,36,0.001,0.9676,0.0000,0.4598,0.1235,0.0000,2.5150
3968,31,Product,Art,Baseline,SGD,36,0.001,0.9642,0.0000,0.4796,0.1281,0.0000,2.4269
4092,32,Product,Art,Baseline,SGD,36,0.001,0.9691,0.0000,0.4578,0.1173,0.0000,2.5336
4216,33,Product,Art,Baseline,SGD,36,0.001,0.9644,0.0000,0.4578,0.1312,0.0000,2.5246
4340,34,Product,Art,Baseline,SGD,36,0.001,0.9631,0.0000,0.4639,0.1263,0.0000,2.4751
4464,35,Product,Art,Baseline,SGD,36,0.001,0.9694,0.0000,0.4734,0.1260,0.0000,2.3895
4588,36,Product,Art,Baseline,SGD,36,0.001,0.9685,0.0000,0.4705,0.1127,0.0000,2.4237
4712,37,Product,Art,Baseline,SGD,36,0.001,0.9694,0.0000,0.4648,0.1160,0.0000,2.4621
4836,38,Product,Art,Baseline,SGD,36,0.001,0.9664,0.0000,0.4569,0.1175,0.0000,2.5270
4960,39,Product,Art,Baseline,SGD,36,0.001,0.9678,0.0000,0.4652,0.1225,0.0000,2.4800
5084,40,Product,Art,Baseline,SGD,36,0.001,0.9696,0.0000,0.4545,0.1161,0.0000,2.5077
5208,41,Product,Art,Baseline,SGD,36,0.001,0.9673,0.0000,0.4532,0.1216,0.0000,2.5240
5332,42,Product,Art,Baseline,SGD,36,0.001,0.9640,0.0000,0.4549,0.1200,0.0000,2.5064
5456,43,Product,Art,Baseline,SGD,36,0.001,0.9651,0.0000,0.4545,0.1191,0.0000,2.4914
5580,44,Product,Art,Baseline,SGD,36,0.001,0.9705,0.0000,0.4483,0.1168,0.0000,2.5694
5704,45,Product,Art,Baseline,SGD,36,0.001,0.9734,0.0000,0.4557,0.1034,0.0000,2.4667
5828,46,Product,Art,Baseline,SGD,36,0.001,0.9653,0.0000,0.4433,0.1232,0.0000,2.5405
5952,47,Product,Art,Baseline,SGD,36,0.001,0.9669,0.0000,0.4615,0.1220,0.0000,2.4912
6076,48,Product,Art,Baseline,SGD,36,0.001,0.9664,0.0000,0.4615,0.1270,0.0000,2.4889
6200,49,Product,Art,Baseline,SGD,36,0.001,0.9694,0.0000,0.4619,0.1192,0.0000,2.4736
6324,50,Product,Art,Baseline,SGD,36,0.001,0.9658,0.0000,0.4512,0.1186,0.0000,2.5061
6448,51,Product,Art,Baseline,SGD,36,0.001,0.9714,0.0000,0.4586,0.1009,0.0000,2.4772
6572,52,Product,Art,Baseline,SGD,36,0.001,0.9712,0.0000,0.4664,0.1070,0.0000,2.4148
6696,53,Product,Art,Baseline,SGD,36,0.001,0.9709,0.0000,0.4545,0.1096,0.0000,2.4177
6820,54,Product,Art,Baseline,SGD,36,0.001,0.9739,0.0000,0.4652,0.1035,0.0000,2.3886
6944,55,Product,Art,Baseline,SGD,36,0.001,0.9680,0.0000,0.4524,0.1124,0.0000,2.4084
7068,56,Product,Art,Baseline,SGD,36,0.001,0.9709,0.0000,0.4656,0.1067,0.0000,2.3888
7192,57,Product,Art,Baseline,SGD,36,0.001,0.9705,0.0000,0.4586,0.1145,0.0000,2.4342
7316,58,Product,Art,Baseline,SGD,36,0.001,0.9761,0.0000,0.4594,0.1005,0.0000,2.4708
7440,59,Product,Art,Baseline,SGD,36,0.001,0.9752,0.0000,0.4471,0.0959,0.0000,2.5122
7564,60,Product,Art,Baseline,SGD,36,0.001,0.9732,0.0000,0.4512,0.0968,0.0000,2.4878
7688,61,Product,Art,Baseline,SGD,36,0.001,0.9716,0.0000,0.4512,0.1110,0.0000,2.5048
7812,62,Product,Art,Baseline,SGD,36,0.001,0.9732,0.0000,0.4487,0.1087,0.0000,2.4895
7936,63,Product,Art,Baseline,SGD,36,0.001,0.9779,0.0000,0.4499,0.0960,0.0000,2.4725
8060,64,Product,Art,Baseline,SGD,36,0.001,0.9754,0.0000,0.4454,0.0917,0.0000,2.4809
8184,65,Product,Art,Baseline,SGD,36,0.001,0.9777,0.0000,0.4479,0.0820,0.0000,2.4992
8308,66,Product,Art,Baseline,SGD,36,0.001,0.9730,0.0000,0.4549,0.0963,0.0000,2.4895
8432,67,Product,Art,Baseline,SGD,36,0.001,0.9725,0.0000,0.4487,0.1029,0.0000,2.4840
8556,68,Product,Art,Baseline,SGD,36,0.001,0.9768,0.0000,0.4586,0.0859,0.0000,2.3959
8680,69,Product,Art,Baseline,SGD,36,0.001,0.9727,0.0000,0.4471,0.1005,0.0000,2.4159
8804,70,Product,Art,Baseline,SGD,36,0.001,0.9716,0.0000,0.4438,0.1058,0.0000,2.4449
8928,71,Product,Art,Baseline,SGD,36,0.001,0.9725,0.0000,0.4454,0.1017,0.0000,2.4709
9052,72,Product,Art,Baseline,SGD,36,0.001,0.9748,0.0000,0.4516,0.0989,0.0000,2.4452
9176,73,Product,Art,Baseline,SGD,36,0.001,0.9770,0.0000,0.4499,0.0881,0.0000,2.4799
9300,74,Product,Art,Baseline,SGD,36,0.001,0.9797,0.0000,0.4487,0.0834,0.0000,2.4599
9424,75,Product,Art,Baseline,SGD,36,0.001,0.9752,0.0000,0.4462,0.0898,0.0000,2.4821
9548,76,Product,Art,Baseline,SGD,36,0.001,0.9730,0.0000,0.4405,0.1035,0.0000,2.4657
9672,77,Product,Art,Baseline,SGD,36,0.001,0.9770,0.0000,0.4475,0.0891,0.0000,2.4148
9796,78,Product,Art,Baseline,SGD,36,0.001,0.9725,0.0000,0.4376,0.0957,0.0000,2.4942
9920,79,Product,Art,Baseline,SGD,36,0.001,0.9727,0.0000,0.4475,0.0949,0.0000,2.4582
10044,80,Product,Art,Baseline,SGD,36,0.001,0.9768,0.0000,0.4495,0.0902,0.0000,2.4653
