iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
134,1,Product,Art,DANN,SGD,36,0.001,0.7517,0.0000,0.4396,2.2581,0.0000,2.2849
268,3,Product,Art,DANN,SGD,36,0.001,0.8300,0.0000,0.4771,1.9346,0.0000,2.4044
402,5,Product,Art,DANN,SGD,36,0.001,0.8607,0.0000,0.4722,1.8696,0.0000,2.3580
536,7,Product,Art,DANN,SGD,36,0.001,0.8968,0.0000,0.4607,1.7437,0.0000,2.5584
670,9,Product,Art,DANN,SGD,36,0.001,0.8889,0.0000,0.4582,1.7517,0.0000,2.6583
804,11,Product,Art,DANN,SGD,36,0.001,0.8972,0.0000,0.4508,1.7335,0.0000,2.8180
938,13,Product,Art,DANN,SGD,36,0.001,0.9233,0.0000,0.4598,1.6497,0.0000,2.7575
1072,15,Product,Art,DANN,SGD,36,0.001,0.9183,0.0000,0.4359,1.6353,0.0000,2.9069
1206,17,Product,Art,DANN,SGD,36,0.001,0.9258,0.0000,0.4569,1.6271,0.0000,2.7602
1340,19,Product,Art,DANN,SGD,36,0.001,0.9229,0.0000,0.4668,1.6317,0.0000,2.8027
1474,21,Product,Art,DANN,SGD,36,0.001,0.9283,0.0000,0.4495,1.6152,0.0000,2.9321
1608,23,Product,Art,DANN,SGD,36,0.001,0.9287,0.0000,0.4256,1.6222,0.0000,3.1494
1742,25,Product,Art,DANN,SGD,36,0.001,0.9403,0.0000,0.4450,1.5856,0.0000,2.9896
1876,27,Product,Art,DANN,SGD,36,0.001,0.9345,0.0000,0.4170,1.6034,0.0000,3.0800
2010,29,Product,Art,DANN,SGD,36,0.001,0.9473,0.0000,0.4495,1.5656,0.0000,2.8965
2144,31,Product,Art,DANN,SGD,36,0.001,0.9436,0.0000,0.4590,1.5853,0.0000,2.8086
2278,33,Product,Art,DANN,SGD,36,0.001,0.9449,0.0000,0.4549,1.5737,0.0000,2.8609
2412,35,Product,Art,DANN,SGD,36,0.001,0.9594,0.0000,0.4376,1.5333,0.0000,2.8611
2546,37,Product,Art,DANN,SGD,36,0.001,0.9523,0.0000,0.4236,1.5484,0.0000,2.9783
2680,39,Product,Art,DANN,SGD,36,0.001,0.9453,0.0000,0.4166,1.5620,0.0000,3.0973
2814,41,Product,Art,DANN,SGD,36,0.001,0.9523,0.0000,0.4203,1.5482,0.0000,3.0372
2948,43,Product,Art,DANN,SGD,36,0.001,0.9577,0.0000,0.4178,1.5415,0.0000,2.9987
3082,45,Product,Art,DANN,SGD,36,0.001,0.9585,0.0000,0.4347,1.5242,0.0000,2.8143
3216,47,Product,Art,DANN,SGD,36,0.001,0.9598,0.0000,0.4302,1.5174,0.0000,2.9428
3350,49,Product,Art,DANN,SGD,36,0.001,0.9507,0.0000,0.4194,1.5380,0.0000,2.9388
3484,51,Product,Art,DANN,SGD,36,0.001,0.9606,0.0000,0.4380,1.5207,0.0000,2.8764
3618,53,Product,Art,DANN,SGD,36,0.001,0.9494,0.0000,0.4335,1.5449,0.0000,2.8362
3752,55,Product,Art,DANN,SGD,36,0.001,0.9548,0.0000,0.4450,1.5378,0.0000,2.8048
3886,57,Product,Art,DANN,SGD,36,0.001,0.9552,0.0000,0.4129,1.5382,0.0000,3.0751
4020,59,Product,Art,DANN,SGD,36,0.001,0.9643,0.0000,0.4227,1.5126,0.0000,2.9225
4154,61,Product,Art,DANN,SGD,36,0.001,0.9614,0.0000,0.4244,1.5159,0.0000,2.9144
4288,63,Product,Art,DANN,SGD,36,0.001,0.9565,0.0000,0.4116,1.5271,0.0000,2.8122
4422,65,Product,Art,DANN,SGD,36,0.001,0.9697,0.0000,0.4306,1.4954,0.0000,2.8348
4556,67,Product,Art,DANN,SGD,36,0.001,0.9635,0.0000,0.4289,1.4980,0.0000,2.8381
4690,69,Product,Art,DANN,SGD,36,0.001,0.9643,0.0000,0.4302,1.5009,0.0000,2.7540
4824,71,Product,Art,DANN,SGD,36,0.001,0.9606,0.0000,0.4211,1.5089,0.0000,2.7687
4958,73,Product,Art,DANN,SGD,36,0.001,0.9556,0.0000,0.4236,1.5283,0.0000,2.7376
5092,75,Product,Art,DANN,SGD,36,0.001,0.9635,0.0000,0.4269,1.5009,0.0000,2.8145
5226,77,Product,Art,DANN,SGD,36,0.001,0.9643,0.0000,0.4396,1.5135,0.0000,2.6854
5360,79,Product,Art,DANN,SGD,36,0.001,0.9623,0.0000,0.4405,1.5103,0.0000,2.7260
5494,81,Product,Art,DANN,SGD,36,0.001,0.9656,0.0000,0.4203,1.5050,0.0000,2.7384
5628,83,Product,Art,DANN,SGD,36,0.001,0.9656,0.0000,0.4417,1.5011,0.0000,2.6781
5762,85,Product,Art,DANN,SGD,36,0.001,0.9677,0.0000,0.4281,1.4785,0.0000,2.8024
5896,87,Product,Art,DANN,SGD,36,0.001,0.9706,0.0000,0.4306,1.4780,0.0000,2.7313
6030,89,Product,Art,DANN,SGD,36,0.001,0.9689,0.0000,0.4227,1.4814,0.0000,2.7925
6164,91,Product,Art,DANN,SGD,36,0.001,0.9693,0.0000,0.4157,1.4857,0.0000,2.7541
6298,93,Product,Art,DANN,SGD,36,0.001,0.9714,0.0000,0.4339,1.4832,0.0000,2.6105
6432,95,Product,Art,DANN,SGD,36,0.001,0.9668,0.0000,0.4281,1.5015,0.0000,2.7469
