iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
124,0,Product,Clipart,Baseline,SGD,36,0.001,0.5943,0.0000,0.2916,1.6243,0.0000,3.8303
248,1,Product,Clipart,Baseline,SGD,36,0.001,0.8096,0.0000,0.3205,0.6487,0.0000,3.6622
372,2,Product,Clipart,Baseline,SGD,36,0.001,0.8558,0.0000,0.3404,0.5237,0.0000,3.6715
496,3,Product,Clipart,Baseline,SGD,36,0.001,0.8849,0.0000,0.3290,0.4058,0.0000,3.8090
620,4,Product,Clipart,Baseline,SGD,36,0.001,0.9036,0.0000,0.3251,0.3336,0.0000,3.9164
744,5,Product,Clipart,Baseline,SGD,36,0.001,0.9185,0.0000,0.3113,0.2894,0.0000,4.3346
868,6,Product,Clipart,Baseline,SGD,36,0.001,0.9185,0.0000,0.3356,0.2867,0.0000,3.8583
992,7,Product,Clipart,Baseline,SGD,36,0.001,0.9225,0.0000,0.3414,0.2669,0.0000,3.8874
1116,8,Product,Clipart,Baseline,SGD,36,0.001,0.9367,0.0000,0.3283,0.2252,0.0000,3.8973
1240,9,Product,Clipart,Baseline,SGD,36,0.001,0.9275,0.0000,0.3271,0.2487,0.0000,3.9852
1364,10,Product,Clipart,Baseline,SGD,36,0.001,0.9408,0.0000,0.3475,0.2049,0.0000,3.7429
1488,11,Product,Clipart,Baseline,SGD,36,0.001,0.9441,0.0000,0.3414,0.1935,0.0000,3.8180
1612,12,Product,Clipart,Baseline,SGD,36,0.001,0.9417,0.0000,0.3338,0.2067,0.0000,4.0455
1736,13,Product,Clipart,Baseline,SGD,36,0.001,0.9473,0.0000,0.3322,0.1982,0.0000,3.9765
1860,14,Product,Clipart,Baseline,SGD,36,0.001,0.9453,0.0000,0.3324,0.2001,0.0000,3.9220
1984,15,Product,Clipart,Baseline,SGD,36,0.001,0.9482,0.0000,0.3361,0.1927,0.0000,3.9291
2108,16,Product,Clipart,Baseline,SGD,36,0.001,0.9471,0.0000,0.3237,0.1893,0.0000,4.1562
2232,17,Product,Clipart,Baseline,SGD,36,0.001,0.9540,0.0000,0.3430,0.1707,0.0000,3.8888
2356,18,Product,Clipart,Baseline,SGD,36,0.001,0.9513,0.0000,0.3271,0.1770,0.0000,3.9032
2480,19,Product,Clipart,Baseline,SGD,36,0.001,0.9491,0.0000,0.3377,0.1777,0.0000,3.8074
2604,20,Product,Clipart,Baseline,SGD,36,0.001,0.9567,0.0000,0.3423,0.1532,0.0000,3.8166
2728,21,Product,Clipart,Baseline,SGD,36,0.001,0.9590,0.0000,0.3315,0.1510,0.0000,3.8656
2852,22,Product,Clipart,Baseline,SGD,36,0.001,0.9554,0.0000,0.3354,0.1563,0.0000,3.8835
2976,23,Product,Clipart,Baseline,SGD,36,0.001,0.9576,0.0000,0.3315,0.1630,0.0000,4.0176
3100,24,Product,Clipart,Baseline,SGD,36,0.001,0.9570,0.0000,0.3427,0.1476,0.0000,3.8935
3224,25,Product,Clipart,Baseline,SGD,36,0.001,0.9583,0.0000,0.3219,0.1507,0.0000,4.0622
3348,26,Product,Clipart,Baseline,SGD,36,0.001,0.9613,0.0000,0.3326,0.1452,0.0000,3.8834
3472,27,Product,Clipart,Baseline,SGD,36,0.001,0.9595,0.0000,0.3381,0.1423,0.0000,3.8371
3596,28,Product,Clipart,Baseline,SGD,36,0.001,0.9610,0.0000,0.3418,0.1493,0.0000,3.8272
3720,29,Product,Clipart,Baseline,SGD,36,0.001,0.9633,0.0000,0.3391,0.1331,0.0000,3.7725
3844,30,Product,Clipart,Baseline,SGD,36,0.001,0.9604,0.0000,0.3292,0.1436,0.0000,3.7942
3968,31,Product,Clipart,Baseline,SGD,36,0.001,0.9642,0.0000,0.3278,0.1329,0.0000,3.8024
4092,32,Product,Clipart,Baseline,SGD,36,0.001,0.9640,0.0000,0.3317,0.1276,0.0000,3.7645
4216,33,Product,Clipart,Baseline,SGD,36,0.001,0.9637,0.0000,0.3397,0.1330,0.0000,3.7510
4340,34,Product,Clipart,Baseline,SGD,36,0.001,0.9619,0.0000,0.3265,0.1342,0.0000,3.9245
4464,35,Product,Clipart,Baseline,SGD,36,0.001,0.9669,0.0000,0.3345,0.1197,0.0000,3.7509
4588,36,Product,Clipart,Baseline,SGD,36,0.001,0.9664,0.0000,0.3473,0.1182,0.0000,3.6247
4712,37,Product,Clipart,Baseline,SGD,36,0.001,0.9682,0.0000,0.3386,0.1152,0.0000,3.7315
4836,38,Product,Clipart,Baseline,SGD,36,0.001,0.9680,0.0000,0.3304,0.1186,0.0000,3.7394
4960,39,Product,Clipart,Baseline,SGD,36,0.001,0.9662,0.0000,0.3304,0.1168,0.0000,3.8078
5084,40,Product,Clipart,Baseline,SGD,36,0.001,0.9662,0.0000,0.3363,0.1181,0.0000,3.7512
5208,41,Product,Clipart,Baseline,SGD,36,0.001,0.9671,0.0000,0.3267,0.1178,0.0000,3.8632
5332,42,Product,Clipart,Baseline,SGD,36,0.001,0.9689,0.0000,0.3349,0.1161,0.0000,3.6963
5456,43,Product,Clipart,Baseline,SGD,36,0.001,0.9714,0.0000,0.3306,0.1137,0.0000,3.7001
5580,44,Product,Clipart,Baseline,SGD,36,0.001,0.9691,0.0000,0.3336,0.1145,0.0000,3.8184
5704,45,Product,Clipart,Baseline,SGD,36,0.001,0.9698,0.0000,0.3212,0.1077,0.0000,3.8750
5828,46,Product,Clipart,Baseline,SGD,36,0.001,0.9687,0.0000,0.3214,0.1115,0.0000,3.8735
5952,47,Product,Clipart,Baseline,SGD,36,0.001,0.9689,0.0000,0.3168,0.1149,0.0000,3.8506
6076,48,Product,Clipart,Baseline,SGD,36,0.001,0.9707,0.0000,0.3361,0.1082,0.0000,3.6757
6200,49,Product,Clipart,Baseline,SGD,36,0.001,0.9691,0.0000,0.3304,0.1123,0.0000,3.7278
6324,50,Product,Clipart,Baseline,SGD,36,0.001,0.9752,0.0000,0.3233,0.1007,0.0000,3.7772
