iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Real World,Clipart,Baseline,SGD,36,0.001,0.5596,0.0000,0.0674,1.7555,0.0000,8.3057
244,1,Real World,Clipart,Baseline,SGD,36,0.001,0.7482,0.0000,0.1283,0.9220,0.0000,7.3906
366,2,Real World,Clipart,Baseline,SGD,36,0.001,0.8095,0.0000,0.1661,0.6760,0.0000,6.9270
488,3,Real World,Clipart,Baseline,SGD,36,0.001,0.8226,0.0000,0.2513,0.6298,0.0000,4.7370
610,4,Real World,Clipart,Baseline,SGD,36,0.001,0.8453,0.0000,0.3100,0.5401,0.0000,4.0392
732,5,Real World,Clipart,Baseline,SGD,36,0.001,0.8637,0.0000,0.3322,0.4818,0.0000,4.2221
854,6,Real World,Clipart,Baseline,SGD,36,0.001,0.8708,0.0000,0.3084,0.4447,0.0000,4.4316
976,7,Real World,Clipart,Baseline,SGD,36,0.001,0.8887,0.0000,0.3668,0.3881,0.0000,4.2011
1098,8,Real World,Clipart,Baseline,SGD,36,0.001,0.8951,0.0000,0.3748,0.3649,0.0000,3.9604
1220,9,Real World,Clipart,Baseline,SGD,36,0.001,0.9002,0.0000,0.3572,0.3502,0.0000,4.1419
1342,10,Real World,Clipart,Baseline,SGD,36,0.001,0.9082,0.0000,0.3771,0.3272,0.0000,4.1984
1464,11,Real World,Clipart,Baseline,SGD,36,0.001,0.9181,0.0000,0.3684,0.2984,0.0000,4.1465
1586,12,Real World,Clipart,Baseline,SGD,36,0.001,0.9126,0.0000,0.3986,0.3105,0.0000,3.5932
1708,13,Real World,Clipart,Baseline,SGD,36,0.001,0.9080,0.0000,0.3682,0.3170,0.0000,4.2989
1830,14,Real World,Clipart,Baseline,SGD,36,0.001,0.9247,0.0000,0.3734,0.2695,0.0000,4.0019
1952,15,Real World,Clipart,Baseline,SGD,36,0.001,0.9263,0.0000,0.4192,0.2541,0.0000,3.8765
2074,16,Real World,Clipart,Baseline,SGD,36,0.001,0.9300,0.0000,0.4085,0.2462,0.0000,3.7787
2196,17,Real World,Clipart,Baseline,SGD,36,0.001,0.9243,0.0000,0.4087,0.2586,0.0000,3.7521
2318,18,Real World,Clipart,Baseline,SGD,36,0.001,0.9302,0.0000,0.3915,0.2389,0.0000,3.8099
2440,19,Real World,Clipart,Baseline,SGD,36,0.001,0.9323,0.0000,0.4268,0.2301,0.0000,3.4690
2562,20,Real World,Clipart,Baseline,SGD,36,0.001,0.9295,0.0000,0.3998,0.2401,0.0000,3.9828
2684,21,Real World,Clipart,Baseline,SGD,36,0.001,0.9387,0.0000,0.4140,0.2272,0.0000,3.7379
2806,22,Real World,Clipart,Baseline,SGD,36,0.001,0.9348,0.0000,0.4048,0.2347,0.0000,3.9458
2928,23,Real World,Clipart,Baseline,SGD,36,0.001,0.9341,0.0000,0.4167,0.2194,0.0000,3.5331
3050,24,Real World,Clipart,Baseline,SGD,36,0.001,0.9256,0.0000,0.3989,0.2476,0.0000,3.9563
