iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Real World,Product,Baseline,SGD,36,0.001,0.5639,0.0000,0.1629,1.7565,0.0000,5.8660
244,1,Real World,Product,Baseline,SGD,36,0.001,0.7349,0.0000,0.3863,0.9378,0.0000,3.2247
366,2,Real World,Product,Baseline,SGD,36,0.001,0.7939,0.0000,0.5591,0.7162,0.0000,2.0887
488,3,Real World,Product,Baseline,SGD,36,0.001,0.8269,0.0000,0.5972,0.5770,0.0000,1.9647
610,4,Real World,Product,Baseline,SGD,36,0.001,0.8407,0.0000,0.6033,0.5422,0.0000,1.8993
732,5,Real World,Product,Baseline,SGD,36,0.001,0.8687,0.0000,0.6614,0.4597,0.0000,1.5267
854,6,Real World,Product,Baseline,SGD,36,0.001,0.8816,0.0000,0.6308,0.4135,0.0000,1.7796
976,7,Real World,Product,Baseline,SGD,36,0.001,0.8901,0.0000,0.6587,0.3884,0.0000,1.6107
1098,8,Real World,Product,Baseline,SGD,36,0.001,0.8981,0.0000,0.6968,0.3689,0.0000,1.3838
1220,9,Real World,Product,Baseline,SGD,36,0.001,0.8953,0.0000,0.7409,0.3661,0.0000,1.1247
1342,10,Real World,Product,Baseline,SGD,36,0.001,0.9006,0.0000,0.7056,0.3385,0.0000,1.3471
1464,11,Real World,Product,Baseline,SGD,36,0.001,0.9098,0.0000,0.6747,0.2973,0.0000,1.6028
1586,12,Real World,Product,Baseline,SGD,36,0.001,0.9061,0.0000,0.7198,0.3199,0.0000,1.2919
1708,13,Real World,Product,Baseline,SGD,36,0.001,0.9105,0.0000,0.7207,0.3044,0.0000,1.2837
1830,14,Real World,Product,Baseline,SGD,36,0.001,0.9208,0.0000,0.7222,0.2706,0.0000,1.2691
1952,15,Real World,Product,Baseline,SGD,36,0.001,0.9224,0.0000,0.7558,0.2531,0.0000,1.1229
2074,16,Real World,Product,Baseline,SGD,36,0.001,0.9224,0.0000,0.7193,0.2608,0.0000,1.3082
2196,17,Real World,Product,Baseline,SGD,36,0.001,0.9289,0.0000,0.7441,0.2649,0.0000,1.1917
2318,18,Real World,Product,Baseline,SGD,36,0.001,0.9197,0.0000,0.7416,0.2716,0.0000,1.2114
2440,19,Real World,Product,Baseline,SGD,36,0.001,0.9217,0.0000,0.7425,0.2562,0.0000,1.1539
2562,20,Real World,Product,Baseline,SGD,36,0.001,0.9316,0.0000,0.7409,0.2312,0.0000,1.1739
2684,21,Real World,Product,Baseline,SGD,36,0.001,0.9332,0.0000,0.7461,0.2250,0.0000,1.1377
2806,22,Real World,Product,Baseline,SGD,36,0.001,0.9355,0.0000,0.7339,0.2232,0.0000,1.1853
2928,23,Real World,Product,Baseline,SGD,36,0.001,0.9321,0.0000,0.7477,0.2438,0.0000,1.1673
3050,24,Real World,Product,Baseline,SGD,36,0.001,0.9442,0.0000,0.7369,0.2038,0.0000,1.2285
3172,25,Real World,Product,Baseline,SGD,36,0.001,0.9429,0.0000,0.7414,0.2045,0.0000,1.2086
3294,26,Real World,Product,Baseline,SGD,36,0.001,0.9392,0.0000,0.7358,0.2217,0.0000,1.2421
3416,27,Real World,Product,Baseline,SGD,36,0.001,0.9348,0.0000,0.7445,0.2262,0.0000,1.2130
3538,28,Real World,Product,Baseline,SGD,36,0.001,0.9406,0.0000,0.7207,0.2049,0.0000,1.3093
3660,29,Real World,Product,Baseline,SGD,36,0.001,0.9399,0.0000,0.7461,0.1936,0.0000,1.1734
3782,30,Real World,Product,Baseline,SGD,36,0.001,0.9415,0.0000,0.7513,0.1994,0.0000,1.1383
3904,31,Real World,Product,Baseline,SGD,36,0.001,0.9415,0.0000,0.7432,0.1998,0.0000,1.1465
4026,32,Real World,Product,Baseline,SGD,36,0.001,0.9449,0.0000,0.7355,0.1855,0.0000,1.1752
4148,33,Real World,Product,Baseline,SGD,36,0.001,0.9433,0.0000,0.7398,0.2006,0.0000,1.2175
4270,34,Real World,Product,Baseline,SGD,36,0.001,0.9474,0.0000,0.7315,0.1776,0.0000,1.2253
4392,35,Real World,Product,Baseline,SGD,36,0.001,0.9470,0.0000,0.7358,0.1915,0.0000,1.2383
4514,36,Real World,Product,Baseline,SGD,36,0.001,0.9429,0.0000,0.7272,0.1992,0.0000,1.2536
4636,37,Real World,Product,Baseline,SGD,36,0.001,0.9509,0.0000,0.7403,0.1746,0.0000,1.1722
4758,38,Real World,Product,Baseline,SGD,36,0.001,0.9477,0.0000,0.7493,0.1731,0.0000,1.1270
4880,39,Real World,Product,Baseline,SGD,36,0.001,0.9527,0.0000,0.7164,0.1749,0.0000,1.3742
5002,40,Real World,Product,Baseline,SGD,36,0.001,0.9541,0.0000,0.7371,0.1680,0.0000,1.2347
5124,41,Real World,Product,Baseline,SGD,36,0.001,0.9488,0.0000,0.7481,0.1725,0.0000,1.1196
5246,42,Real World,Product,Baseline,SGD,36,0.001,0.9525,0.0000,0.7520,0.1823,0.0000,1.1014
5368,43,Real World,Product,Baseline,SGD,36,0.001,0.9523,0.0000,0.7423,0.1618,0.0000,1.1805
5490,44,Real World,Product,Baseline,SGD,36,0.001,0.9550,0.0000,0.7448,0.1614,0.0000,1.1431
5612,45,Real World,Product,Baseline,SGD,36,0.001,0.9511,0.0000,0.7391,0.1562,0.0000,1.1532
5734,46,Real World,Product,Baseline,SGD,36,0.001,0.9525,0.0000,0.7436,0.1553,0.0000,1.1258
5856,47,Real World,Product,Baseline,SGD,36,0.001,0.9477,0.0000,0.7407,0.1782,0.0000,1.1622
